gid,label,text
84575233,健康,家里的大蒜居然是很好的护发素
84575273,生活,原来空调这样开最省电，难怪邻居电费那么少，连物业都看愣了！
84575303,军事,碰的话就是世界大战，中国这些地方哪国都不能挑衅。
84575294,健康,前列腺炎有“3怕”，男人若经常吃一点，身体可能越来越“强健”
84575345,健康,"它虽然辛辣, 但能激活萎缩胰岛、让血糖下降26% 捣碎吃更好!"
84575362,健康,男人手脚出现三种记号，最好检查一下肾脏，可能尿毒症要来
84575405,育儿,孩子磨牙与长牙有关吗?细数孩子磨牙八大原因
84575424,游戏,王者荣耀：代练实力那么强为何不去打职业，只因自身存在致命短板
84575415,旅游,正是休闲好时节 航拍五一假期的烟台滨海景区
84575443,体育,CBA历史最佳搭档评选半决赛首期：姚明刘炜晋级总决赛
84575485,体育,解密乔丹：恨活塞 却与其中一人成好友？
84575449,旅游,出游防疫两不误 贵阳贵安各景区秩序井然 | 抗击新冠肺炎疫情
84575487,体育,改写07年总决赛结果？美媒爆料斯科特-皮蓬差点和詹姆斯成为队友
84575496,历史,古代嫔妃被打入冷宫，为何太监抢着去伺候？原因道出人性黑暗！
84575532,体育,C罗再次收获一迷弟，此人为00后，曾因一动作红遍半边天
84575526,社会,不用农药，不用化肥的有机蔬菜到底长啥样，看完别惊讶
84575516,健康,男人晨起吃“生姜”，坚持一段时间，3件好事可能“登门拜访”！
84575581,健康,紫甘蓝大家都知道 但这种蔬菜你知道它的好处吗
84575549,娱乐,贝克汉姆女儿小七近照，遭网友吐槽“长残”，网友：牙拉低了颜值
84575576,健康,体检时，查出这3种病，也不用太过担心，你还在傻傻的浪费精力吗？
84574895,时尚,街拍：气质优雅的美女，一件套装黑白格的休闲装，时尚大方气质
84574793,时政,中美公共卫生领域专家呼吁两国共同应对疫情
84575182,汽车,本田最亲民的一次，空间堪比新雅阁，百公里油耗4L，却只卖6.98万
84575205,星座,劳动节后，事业策马奔腾，运势大洗牌，人生充满希望的生肖
84568031,育儿,高颜值女宝走红，被赞为&quot;最美新生儿&quot;，网友直呼：我愿意等她20年
84575246,健康,脱发严重，每天一抓一大把？都是因为你犯了这5个错
84575227,军事,107万人确诊！美大批核导弹备战，俄：做好最坏准备
84575217,幽默,闫学晶直播被要求连麦赵本山，幽默回怼：有本事你连吧，我连不上
84575263,健康,用生姜泡水，对身体有3个好处！但这2类人，一口也不能吃！小心吃进医院！
84575274,旅游,出游不忘防疫景区秩序井然
84575282,幽默,开心一笑：出差，在一荒无人烟的地方吃碗面，结账时老板要八百块
84575308,体育,曝！疑似“追梦”与戈贝尔互换东家！名记：多数高层赞成！
84575336,健康,牙龈出血怎么办？孩子牙龈出血的3大原因！
84575310,健康,它是素中之荤，结石“克星”，肠胃“清道夫”，这样搭配吃能杀死癌细胞！
84575357,美食,这样的炒饭可比蛋炒饭好多了，不学不行啊！
84575370,娱乐,双宋离婚后，宋慧乔被传与玄彬旧情复燃，宋仲基疑隔空送祝福？
84575409,育儿,孕妇请不要和孩子开玩笑， 否则后果很严重
84575422,健康,一天中什么时间吃鸡蛋最好？但做了这2件事就白吃鸡蛋了
84575417,美食,土豆新吃法：“土豆烤肉饼”简单又好吃
84575486,健康,五月必喝这杯茶，健脾胃解春困，一扫体内湿气，还不试试？
84575505,科技,专为二指操作人群设计出一套用两个手指就可以完成三指操作方法，并且非常简单
84575522,育儿,3岁女孩“看图连线”，答案却揭露中国家庭悲哀，网友：心疼宝妈
84575551,娱乐,看“眼睛”猜男神，我赌100包辣条，不是真爱粉只能认出李荣浩
84575537,历史,马营城城池格局
84575529,健康,酸枣仁汤该怎么喝比较好
84575595,健康,据说吃芹菜能降血压，男子三年坚持天天吃！结果…
84574817,历史,等待一人，错付了青春，眼见心上人高不可攀，只因自己曾经不勇敢
84574966,历史,两位美少女，生前势如水火，逝去后却奇妙地葬在了一起
84575170,健康,葡萄酒中都有哪些对身体有益的物质？
84575179,健康,睡多了大脑提前衰退？你还敢长时间睡眠吗？坏处远比你想的可怕！
84575195,地方,戴口罩不聚集，太阳岛景美人更美 | 抗击新冠肺炎疫情
84575190,健康,肝血管瘤，会不会癌变？要不要手术呢？
84575213,健康,小肚子大怎么办？十个方法教你轻松瘦
84575235,生活,不锈钢锅烧焦变黑？别总用钢丝球刷，试试这样做，跟新的一样干净
84575271,健康,月经量少的女人，最好别常吃这3类食物，吃多了容易引起闭经！别不当事！
84575291,军事,日本高调宣布开发新型导弹，高超音速武器又添一员，我们需要警惕
84575290,时尚,郭碧婷衣品很不错，穿黑色印花连衣裙配两条辫子，时尚又很灵动
84575364,社会,10年过去了，当年走红全国的“重庆父子”，如今他们怎么样了
84575347,健康,红糖能活血补气，什么时候喝红糖水，保健效果才最好？
84575359,娱乐,11位当年帅气的明星30年来的容颜变换，刘德华看了让人心疼！
84575393,娱乐,周星驰身边的老奶奶，她可不仅仅是配角，更是洪金宝的亲奶奶
84575400,育儿,"孕妇辛苦怀上双胞胎却惹婆婆痛骂, 丈母娘却哭求医生: 我们一个也不要"
84575421,幽默,开心笑话：凭她女儿那脸蛋，俺还得再卖8年鸡蛋，才能娶回家！
84575455,健康,肾不好的男人，晨起吃“3片”，睡前吃“3段”，肾可能越养越强健
84575478,游戏,DNF：直播太久影响家人？旭旭宝宝儿子冲进直播间要关电脑
84575507,汽车,原创 开车避免不了的追尾，你一定要学会这几招
84575467,健康,男性为什么会中年发福？该如何有效预防？
84575491,体育,尼克斯官方twitter纪念“林疯狂”：这段旅程永生难忘
84575582,健康,肝病早期难察觉，一转眼就是晚期了！5个症状一定提防是癌症信号！
84575546,育儿,宝宝吃奶片可以代替喝牛奶吗？
84575557,游戏,被认为最废的三个辅助，把把MVP把把输，却全是开黑能手
84575553,娱乐,青2：前9发言全都哭成泪人，唯独她在讲段子，还霸气表态下个目标
84575611,美食,早餐吃什么好？5种高大上鸡蛋新做法，奢华到不可思议了！
84574955,娱乐,一人分饰多角色，徐少华闫怀礼只是“青铜”，有位李建成你知道吗
84574787,时尚,街拍：打底裤的穿搭别具风格的魅力，展现更加轻松的装扮
84575168,健康,原来这些食物水煮后，功效这么大，还好我发现的及时！
84575176,娱乐,51岁张国强近照曝光，劳动节带7岁女儿清理海滩垃圾，获网友称赞
84575186,健康,肠胃毒素堆积怎么办？3种食物来清理
84575237,娱乐,演戏多年却红不起来的演员，牛骏峰乔振宇不被认可，唯独她是自己不想火！
84575225,健康,马齿苋是春天常见的野菜，不仅营养丰富功效多，还是“黑发神器”
84575209,健康,早孕反应一般在停经多久后产生！
84575280,汽车,原创 这些技巧值得你收藏，因为它会让你的驾驶更加的安全
84575266,科技,一针“强心剂”，华为腾讯强强联手！势必会翻起更大的浪花
84575296,健康,芋头营养丰富，但是这些人别去吃！多吃一口都不行
84575301,汽车,原创 知识点！记一下，开夜车注意这几点你会更优秀
84575317,旅游,网约湘游丨宜章县：“五一”长假生态游 带旺旅游经济
84575331,时政,10艘东方战舰驶向波斯湾，伊朗下令不准拦截，大批侨民等待撤离
84575299,娱乐,金·卡戴珊发不雅宣传照再遭批评：考虑下自己孩子的感受好吗？
84575381,军事,祸不单行，疫情冲击还未结束，美军王牌战机又曝出7大缺陷
84575380,体育,科尔：库里的求胜心严重被低估 他和纳什非常像
84575389,育儿,怀孕后，有人肚脐凸有人凹，这是怎么回事
84575432,健康,鼻炎难受很闹心，一滴蜂蜜搞定它，15分钟就见效，用一个好一个
84575442,科技,【科技头条】一图读懂：我国人造卫星家族
84575480,社会,农村地里的一种草全身都是宝，如今价值过万，可惜很多农民还不知道
84575426,时尚,路人街拍，小姐姐俏人可爱，穿薄纱的一字肩上衣，雅致又文艺
84575535,社会,农村山上常见的野生蔬菜，农民从不自己吃，只因它可以卖20块钱一斤
84575474,健康,它是一种有果汁之王的美誉 想不到还有这么多的好处
84575525,科技,脑科学顶刊导读第21期| PNAS：聚焦视觉与神经科学
84575538,娱乐,李沁一部剧收割两大男神，杀青三年还未播，主演火成一线明星！
84575511,健康,女人睡前坚持“深蹲”，3大好处可能“不请自来”，不妨看看吧！